,,,,,,,,,,,,,,,,,
Contactos,,,,,Clientes,,,,,Documentos,,,,,Siniestros,,
CatContactos.Profesion,Profesión,,,,CatDirecciones.CPostal,Código Postal,,,,DatDocumentos.FAntiguedad,Fecha de Antigüedad,,,,Reclamado,Reclamado,
CatContactos.Puesto,Puesto,,,,CatDirecciones.Colonia,Colonia,,,,DatDocumentos.FDesde,Desde,,,,Deducible,Deducible,
CatContactos.Trato,Trato,,,,CatDirecciones.Poblacion,Población,,,,DatDocumentos.FHasta,Hasta,,,,DedVigAnt,Deducible Vigente Anterior,
CatContactos.Departamento,Departamento,,,,CatDirecciones.Ciudad,Estado,,,,DatDocumentos.FSolicitud,Solicitud,,,,NoProcede,Reclamado que no procede o Gastos No Cubiertos,
CatContactos.FechaIniEmpl,Fecha Ingreso,,,,CatDirecciones.Pais,País,,,,DatDocumentos.FCaptura,Captura,,,,Coaseguro,Coaseguro,
CatContactos.CantEmpleados,Empleados,,,,CatDirecciones.Telefono1,Teléfono 1,"Compocision  de Los Telefonos
Tipo|Numero
Casa|5555555",,,DatDocumentos.FEnvio,Envío,,,,Participacion,Participacion,
CatContactos.Clasifica,Clasificación,Catalogo,,,CatDirecciones.Telefono2,Teléfono 2,,,,DatDocumentos.FRecepcion,Recepción,,,,Convenio,Convenio,
CatContactos.EMail1,Correo 1,,,,CatDirecciones.Telefono3,Teléfono 3,,,,DatDocumentos.FConversion,Conversión,,,,Retencion,Retencion de Importe,
CatContactos.EMail2,Correo 2,,,,CatDirecciones.Telefono4,Teléfono 4,,,,DatDocumentos.FEmision,Emisión,,,,Cheque,Cheque,
CatContactos.URL,URL,,,,CatDirecciones.Telefono5,Teléfono 5,,,,DatDocumentos.FEntrega,Entrega,,,,FolioCaja,Folio Caja,
CatContactos.RedSocial1,Red Social Face Book,,,,CatDirecciones.Telefono6,Teléfono 6,,,,DatDocumentos.FStatus,Fecha de Estatus,,,,PPendiente,Prima Pendiente,
CatContactos.RedSocial2,Red Social Twitter,,,,CatDirecciones.TipoDir,Tipo Dirección,Texto,,,DatDocumentos.MotStatus,Motivo Estatus,,,,Pagado,Importe del Cheque,
CatContactos.RedSocial3,Red Social o Skype,,,,CatDirecciones.Indicaciones,Indicaciones,,,,DatDocumentos.Status,Estatus,Catalogo / 0 Vigente 1 Cancelada,,,PCoaseguro,Porcentaje de Coaseguro,
CatContactos.FechaCap,Fecha Captura,,,,CatDirecciones.IDMens,Mensajero,Catalogo,,,DatDocumentos.StatusCob,Estatus de Cobro,Catalogo,,,IDAjustador,Ajustador,
CatContactos.Obs,Observaciones,,,,CatDirecciones.CodCol,Código de Colonia,ID de Sepomex,,,DatDocumentos.StatusUser,Estatus Usuario,Catalogo,,,IDMotRech,ID de Motivo de Rechazo,
CatContactos.SendMail,Envió por Mail,Catalogo  0/1,,,CatDirecciones.CodPMD,Código de Pob/Mun/Del,ID de Sepomex,,,DatDocumentos.FolioNo,No. de Folio,,,,NotasRechazo,Notas del rechazo,
CatContactos.FtoMail,Formato de Mail,Catalogo,,,CatDirecciones.CodCd,Código de Ciudad,ID de Sepomex,,,DatDocumentos.PrimaNeta,Prima Neta,,,,Observaciones,Observaciones,
CatContactos.SendPhone,Envió SMS,Catalogo  0/1,,,CatDirecciones.CodEdo,Código de Estado,ID de Sepomex,,,DatDocumentos.Descuento,Descuento,,,,ObservacionesAdic,Observaciones adicionales,
CatContactos.Religion,Religión,,,,,,,,,DatDocumentos.PorDesc,% Descuento,,,,FCirugia,Fecha de Cirugia,
CatContactos.TSanguineo,Tipo Sanguíneo,,,,,,,,,DatDocumentos.ExtraPrima,Extra Prima,,,,IDTitular,Titular,
CatContactos.ObsSalud,Observaciones Sobre Salud,,,,Documentos Detalle,,,,,DatDocumentos.PorExtraP,% Extra Prima,,,,IDAfectado,Afectado,
CatContactos.Idioma,Idioma,,,,Campo,Descripcion,Comentarios,,,DatDocumentos.Recargos,Recargos,,,,Parent,Parentesco,
CatContactos.TIngreso,Como se Ingreso,Catalogo,,,DatDoctoDetail.IDDetail,ID del Detalle,,,,DatDocumentos.PorRecargos,% Recargos,,,,Medico,Doctor,
CatContactos.FEntero,Como se entero,Catalogo,,,DatDoctoDetail.IDDocto,ID del Documento Relacion,Requerido,,,DatDocumentos.Derechos,Derechos,,,,Hospital,Hospital,
CatContactos.ClaveTKM,Clave TMK,,,,DatDoctoDetail.IDInc,ID del Numero de Inciso,Requerido,,,DatDocumentos.GastosAdm,Gastos Admin.,,,,Comentario,Comentario,
CatContactos.Edad,Edad,,,,DatDoctoDetail.IDAseg,ID del Asegurado o conductor Habitual,,,,DatDocumentos.STotal,Sub total,,,,ClaveBit,Clave Bitacora,
CatContactos.NumPasaporte,Pasaporte,,,,DatDoctoDetail.IDDir,ID de la Direccion de Riesgo,,,,DatDocumentos.Impuesto1,IVA,,,,NumReporte,Número de Reporte,
CatContactos.NumID,Identificación,,,,DatDoctoDetail.CEVIC,Clave CEVIC,,,,DatDocumentos.PorImp1,% IVA,,,,NumInc,Número de inciso,
CatContactos.NSS,No. Seguridad Social,,,,DatDoctoDetail.Clave,Clave de Tarifa,,,,DatDocumentos.Impuesto2,Impuesto,,,,HospConvenio,Hospital de Convenio,
CatContactos.NAfore,No. de Afore,,,,DatDoctoDetail.Marca,Marca del Vehiculo,,,,DatDocumentos.PorImp2,% Impuesto,,,,MedConvenio,Médico de Convenio,
CatContactos.Percepcion,Sueldo,,,,DatDoctoDetail.Tipo,Tipo de vehiculo,,,,DatDocumentos.FondoInv,F. de Inversión,,,,FCaptura,Fecha de captura,
CatContactos.GAfinidad,Grupo Afinidad,Catalogo,,,DatDoctoDetail.Transmision,Trasmision,,,,DatDocumentos.Ajuste,Ajuste,,,,IDRiesgo,ID Riesgo,
CatContactos.NEmpleado,No. de Empleado,,,,DatDoctoDetail.Puertas,No. de Puertas,,,,DatDocumentos.PrimaTotal,Prima Total,,,,IDCtrolImp,Control de Importacion,
CatContactos.CCosto,Centro de Costo,,,,DatDoctoDetail.Modelo,Modelo,,,,DatDocumentos.Comision0,Neta,,,,IDUserC,ID del Usuario que lo Capturo,
CatContactos.Telefono1,Teléfono 1,"Compocision  de Los Telefonos
Tipo|Numero
Casa|5555555",,,DatDoctoDetail.Serie,Serie de Vehiculo,Requerido en vehículos,,,DatDocumentos.PorCom0,% Com. Neta,,,,IDUserR,ID del Usuario Responsbale,
CatContactos.Telefono2,Teléfono 2,,,,DatDoctoDetail.Motor,Motor del Vehiculo/Maquinaria Aviones,,,,DatDocumentos.Comision1,Extra Prima,,,,IDUserT,ID del Usuario Que lo Concluyó,
CatContactos.Telefono3,Teléfono 3,,,,DatDoctoDetail.Repuve,REPUVE de Vehiculo,,,,DatDocumentos.PorCom1,% Com. Extra Prima,,,,Reserva,Reserva,
CatContactos.Telefono4,Teléfono 4,,,,DatDoctoDetail.Placas,Placas de Vehiculo /Aviones Matricula,,,,DatDocumentos.Comision2,Recargos,,,,Ajuste,Ajuste,
CatContactos.LicenciaTipo,Tipo Licencia,,,,DatDoctoDetail.IDEdoCircula,Id del Estado de Circulacion,ID de acuerdo a SEPOMEX,,,DatDocumentos.PorCom2,% Com. Recargos,,,,Gastos,Gastos,
CatContactos.LicenciaNum,No. Licencia,,,,DatDoctoDetail.EstadoCircula,Estado de Circulacion,,,,DatDocumentos.Comision3,Derechos,,,,GAI,GAI,
CatContactos.Comentario,Comentario,,,,DatDoctoDetail.Color,Color Vehiculo,,,,DatDocumentos.PorCom3,% Com. Derechos,,,,Salvamento,Salvamento,
CatContactos.Percepcion,Valor de Activos Fijos,,,,DatDoctoDetail.Ocupantes,Ocupantes,,,,DatDocumentos.Comision4,Cancelación,,,,SinNeto,SinNeto,
CatContactos.IDCtrolImp,Control de Importación,,,,DatDoctoDetail.Servicio,Servicio que Presta el Vehiculo,,,,DatDocumentos.PorCom4,% Com. Cancelación,,,,CategoriaCie10,Indica el nombre general de categoria a la que pertenece la causa en caso de existir valor en el campo ClaveCie (solo se muestra para corredor master),
CatContactos.WebPassword,Contraseña,,,,DatDoctoDetail.UsoVehiculo,Uso Vehiculo,,,,DatDocumentos.Comision5,Promotor,,,,ClaveCie,Indica Clave particular del padecimiento conforme al catalogo CIE 10 (solo se muestra para corredor master),
CatContactos.WebStatus,Estatus del Acceso,,,,DatDoctoDetail.Cochera,Si tiene o no Cochera,Sí/No (1/0),,,DatDocumentos.PorCom5,% Com. Promotor,,,,FieldOpen1,Campo Abierto 1,
CatContactos.WebIDProfile,Perfil de Acceso,Enviar 0,,,DatDoctoDetail.TipoCarga,Tipo de Carga,,,,DatDocumentos.Comision6,Especial,,,,FieldOpen2,Campo Abierto 2,
CatContactos.WebMailLogin,Correo para acceso WEB,,,,DatDoctoDetail.Tonelaje,Tonelaje,,,,DatDocumentos.PorCom6,% Com. Especial,,,,FieldOpen3,Campo Abierto 3,
CatContactos.WebCodeAuth,Código de Autorización,,,,DatDoctoDetail.LocalizadorCia,Compañía Localizadora,,,,DatDocumentos.Comision7,Adicional 1,,,,FieldOpen4,Campo Abierto 4,
CatContactos.GreenClient,Cliente Verde,0/1,,,DatDoctoDetail.LozalizadorSerie,Serie del Localizador,,,,DatDocumentos.PorCom7,% Com. Adicional 1,,,,ImpEmbarqueVenta,Importe de Embarque Venta,
CatContactos.FGreenClient,Fecha Cliente Verde,,,,DatDoctoDetail.EqEsp,Descripcion del Equipo Especial,,,,DatDocumentos.Comision8,Adicional 2,,,,ImpEmbarqueCosto,Importe de Embarque Costo,
CatContactos.AvisoPriv,Aviso de Privacidad,0/1,,,DatDoctoDetail.EqEspSAseg,Suma ASegurada del Equipo Especial,,,,DatDocumentos.PorCom8,% Com. Adicional 2,,,,ImpRobo,Importe de Robo,
CatContactos.FAvisoPriv,Fecha Aviso Privacidad,,,,DatDoctoDetail.Adap,Descripcion de las Adaptaciones,,,,DatDocumentos.Comision9,Adicional 3,,,,ImpRoboCosto,Importe de Robo Costo,
CatContactos.FolletoInf,Folleto Informativo,0/1,,,DatDoctoDetail.AdapSAseg,Suma ASegurada de las Adaptaciones,,,,DatDocumentos.PorCom9,% Com. Adicional 3,,,,PerdidaRealCosto,Perdida Real Costo,
CatContactos.FFolletoInf,Fecha Folleto Informativo,,,,DatDoctoDetail.RemDescripcion,Descripcion del Remolque,,,,DatDocumentos.Referencia1,Referencia 1,,,,Indemnizacion,Indeminización,
CatContactos.CCobMail2,Correo Cobro,,,,DatDoctoDetail.RemDescripcion,Marca del Remolque,,,,DatDocumentos.Referencia2,Referencia 2,,,,IDReporta,ID Persona que Reportó,
,,,,,DatDoctoDetail.RemTipo,Tipo del Remolque,,,,DatDocumentos.Referencia3,Referencia 3,,,,IDDest,ID Destinatario,
,,,,,DatDoctoDetail.RemModelo,Modelo Remolque,,,,DatDocumentos.Concepto,Concepto,,,,FConocDelit,Fecha,
,,,,,DatDoctoDetail.RemClave,Clave del Remolque,,,,DatDocumentos.Notas,Notas,,,,FPresSnDenu,Fecha,
,,,,,DatDoctoDetail.RemPlacas,Placas del Remolque,,,,DatDocumentos.ClasDocto,Clasificación Documento,Catalogo,,,FNotyfDicta,Fecha,
,,,,,DatDoctoDetail.RemSerie,Serie del Remolque,,,,DatDocumentos.APDP,Derechos de Póliza,0  1er Recibo 1 proporcional,,,FPresEscrit,Fecha,
,,,,,DatDoctoDetail.RemSAseg,Suma Asegurada del Remolque,,,,DatDocumentos.CCP,Calculo Recibos Póliza,0,,,FReclaDenun,Fecha,
,,,,,DatDoctoDetail.IDProdCR,ID de Producto  Compañía  y Ramo,,,,DatDocumentos.CCE,Calculo Recibos Endosos,0,,,Fpago,Fecha de pago,
,,,,,DatDoctoDetail.TFlotilla,Tipo de Flotilla,,,,DatDocumentos.DPPR,Días de Revisión de Pago (1er.  Recibo),Enviar Numero de Dias,,,FPresImput,Fecha,
,,,,,DatDoctoDetail.ReqInsp,Si se requiere o no Inspeccion,Sí/No (1/0),,,DatDocumentos.DPRS,Días de Revisión de Pago (Subsecuentes),0,,,FImputPag,Fecha,
,,,,,DatDoctoDetail.Coaseguro,Gastos Medicos Coaseguro,,,,DatDocumentos.Renovable,Es Renovable,1,,,FPresSent,Fecha,
,,,,,DatDoctoDetail.Tempo,Temporalidad,,,,DatDocumentos.MarcarFinish,Al Vencer Marcar Como,0,,,FRecepEscri,Fecha,
,,,,,DatDoctoDetail.Incremento,Incremento,,,,DatDocumentos.Comentario,Comentario,,,,FEntregEscri,Fecha,
,,,,,DatDoctoDetail.PIncre,Porcentaje de Incremento,,,,DatDocumentos.IDCalPagos,Calendario de Pagos,Catalogo,,,FReqPago,Fecha,
,,,,,DatDoctoDetail.Modulos,Numero de Modulos Contratados,,,,DatDocumentos.IncInic,Inciso Inicial,,,,FRecupera,Fecha,
,,,,,DatDoctoDetail.IDSecond,ID de Asegurado Secundario,,,,DatDocumentos.Prefijo,Prefijo,,,,FPresenta,Fecha,
,,,,,DatDoctoDetail.TipoObra,Tipo de Obra,,,,DatDocumentos.AutoInc,Incremento Automático para Inciso,1,,,IDUserD,Usuario,
,,,,,DatDoctoDetail.DescripcionObra,Descripcion de la Obra,,,,DatDocumentos.ReferenciaPago,Referencia de Pago,,,,IDUserDe,Usuario,
,,,,,DatDoctoDetail.TipoInmueble,Familiar/Emp Tipo de Inmueble,,,,DatDocumentos.IDDespacho,Despacho,Catalogo,,,FDesestimiento,Fecha de desestimiento,
,,,,,DatDoctoDetail.Muros,Familiar/Emp Muros,,,,DatDocumentos.IDGerencia,Gerencia,Catalogo,,,FDormido,Fecha dormido,
,,,,,DatDoctoDetail.Techos,Familiar/Emp Techo,,,,DatDocumentos.Inciso,Inciso,,,,Obs,Observaciones,
,,,,,DatDoctoDetail.EntrePisos,Familiar/EntrePisos,,,,DatDocumentos.IDLineBuss,Línea de Negocio,Catalogo,,,StatusCD,Estatus sobre archivo subido al centro Digital,
,,,,,DatDoctoDetail.Sotanos,Numero de Sotanos,,,,DatDocumentos.IsEspecial,Tramite Especial,,,,IDClaimWS,ID Relacionado a Cia WS,
,,,,,DatDoctoDetail.Mezzanines,Numero de Mezzanines,,,,DatDocumentos.IsProduction,Es Producción,0 / 1,,,Factura,Factura,Campos específicos Murgía
,,,,,DatDoctoDetail.Pisos,Numero de Pisos,,,,DatDocumentos.TCDocto,T. de Cambio,,,,FSolicitud,Fecha solicitud,
,,,,,DatDoctoDetail.Nivel,Niveles,,,,DatDocumentos.StatusRen,Control de Renovación,,,,FRecepcion,Fecha recepción,
,,,,,DatDoctoDetail.PlantaP,Planta Principal,,,,DatDocumentos.PorcentRen,Incremento Renovación,,,,FAutorizacion,Fecha autorización,
,,,,,DatDoctoDetail.Colindantes,Obra Civil Colindantes,,,,DatDocumentos.IDUserR,Usuario para Renovación,Catalogo,,,DeduciblePor,Porcentaje deducible,
,,,,,DatDoctoDetail.SuperficieTotal,Obra Civil  Superficie Total Construida  / Familiar Metros Cuadrados del Inmueble,,,,DatDocumentos.IDUserC,Usuario que Capturo,Catalogo,,,DeducibleCon,Deducible condonado,
,,,,,DatDoctoDetail.SubSuelo,Obra Civil  Tipo de Subsuelo,,,,DatDocumentos.Referencia4,Referencia 4,,,,PrimaNoDev,Prima no devengada,
,,,,,DatDoctoDetail.TraficVehic,Familiar Trafico Vehicular,,,,DatDocumentos.IDEjecutCob,Ejecutivo de Cobranza,Catalogo,,,FDevPrimNoDev,Fecha Devolución prima no devengada,
